Cohort_ID,Phase,Company_Name,Visit_Date,Role_Title,Role_Family,Tier,Sector,Geography,Is_Repeat_Recruiter,Openings_Announced,Applicants_Attended,Interview_Slots,Shortlisted,Offers_Issued,Joined_Count
MBA_2023,Pre-AI,AlphaCorp,2023-02-27,Analyst,Consulting,Tier-2,Consulting,UAE,Yes,3,9,9,6,0,0
MBA_2023,Pre-AI,OmegaSystems,2023-07-02,Analyst,Finance,Tier-2,BFSI,Global,Yes,2,6,2,1,0,0
MBA_2023,Pre-AI,DeltaFinance,2023-03-18,Analyst,Consulting,Tier-2,Consulting,UAE,Yes,9,6,6,4,1,1
MBA_2023,Pre-AI,AlphaCorp,2023-10-07,Consultant,Ops,Tier-2,Manufacturing,Global,No,9,6,9,7,2,2
MBA_2023,Pre-AI,OmegaSystems,2023-05-17,Consultant,Consulting,Tier-2,SaaS,UAE,Yes,3,7,6,2,1,0
MBA_2023,Pre-AI,DeltaFinance,2023-07-02,Analyst,Consulting,Tier-1,SaaS,Global,No,3,9,3,3,1,1
MBA_2023,Pre-AI,AlphaCorp,2023-01-24,Engineer,Ops,Tier-1,Manufacturing,APAC,Yes,5,11,10,7,1,0
MBA_2023,Pre-AI,DeltaFinance,2023-01-07,Engineer,Finance,Tier-2,Manufacturing,Global,No,3,12,1,1,0,0
MGB_2023,Pre-AI,BetaTech,2023-07-28,Engineer,Ops,Startup,Manufacturing,India,Yes,7,12,4,4,1,1
MGB_2023,Pre-AI,BetaTech,2023-01-16,Associate,Consulting,Tier-1,Consulting,Global,No,3,7,11,7,1,0
MGB_2023,Pre-AI,OmegaSystems,2023-10-21,Analyst,Ops,Startup,Manufacturing,Global,No,6,6,10,7,1,1
MGB_2023,Pre-AI,BetaTech,2023-02-07,Consultant,Finance,Tier-1,BFSI,UAE,Yes,8,11,7,3,2,2
MGB_2023,Pre-AI,OmegaSystems,2023-01-03,Associate,Ops,Tier-1,SaaS,APAC,No,9,5,7,4,1,1
MGB_2023,Pre-AI,DeltaFinance,2023-08-10,Analyst,Finance,Tier-1,SaaS,APAC,No,2,10,9,4,0,0
MGB_2023,Pre-AI,OmegaSystems,2023-06-05,Analyst,Consulting,Startup,BFSI,APAC,No,9,4,4,3,1,0
MGB_2023,Pre-AI,OmegaSystems,2023-06-21,Associate,Finance,Startup,Manufacturing,India,Yes,4,12,10,6,1,0
MGB_2023,Pre-AI,GammaAdvisory,2023-08-09,Associate,Consulting,Tier-2,SaaS,APAC,Yes,6,4,3,2,1,1
MBA_2024,Yoodli,BetaTech,2024-08-20,Analyst,Ops,Startup,SaaS,UAE,Yes,8,8,8,5,2,0
MBA_2024,Yoodli,DeltaFinance,2024-11-11,Analyst,Ops,Tier-2,BFSI,India,Yes,4,11,4,3,1,1
MBA_2024,Yoodli,BetaTech,2024-10-27,Consultant,Consulting,Tier-1,Consulting,UAE,Yes,3,13,10,5,1,0
MBA_2024,Yoodli,BetaTech,2024-07-28,Associate,Finance,Tier-1,Consulting,APAC,Yes,2,12,11,7,1,0
MBA_2024,Yoodli,BetaTech,2024-01-24,Engineer,Ops,Tier-2,Manufacturing,India,Yes,5,13,10,6,2,0
MBA_2024,Yoodli,OmegaSystems,2024-01-25,Associate,Finance,Tier-1,BFSI,UAE,No,1,10,7,2,0,0
MBA_2024,Yoodli,AlphaCorp,2024-09-02,Associate,Finance,Tier-1,BFSI,Global,Yes,9,13,6,6,2,1
MGB_2024,Yoodli,OmegaSystems,2024-04-23,Engineer,Ops,Tier-2,Manufacturing,India,No,10,14,12,8,3,3
MGB_2024,Yoodli,AlphaCorp,2024-07-15,Engineer,Tech,Tier-2,Manufacturing,UAE,Yes,8,7,11,6,2,1
MGB_2024,Yoodli,GammaAdvisory,2024-03-09,Associate,Ops,Tier-1,BFSI,Global,No,2,6,8,7,1,0
MGB_2024,Yoodli,DeltaFinance,2024-09-13,Engineer,Ops,Tier-1,SaaS,UAE,No,4,6,7,7,1,0
MGB_2024,Yoodli,AlphaCorp,2024-07-11,Engineer,Tech,Tier-1,Consulting,UAE,Yes,9,13,9,7,3,2
MGB_2024,Yoodli,BetaTech,2024-07-28,Engineer,Ops,Tier-1,Manufacturing,APAC,Yes,1,5,5,3,0,0
MGB_2024,Yoodli,GammaAdvisory,2024-01-21,Analyst,Consulting,Tier-1,Consulting,UAE,No,3,10,2,2,1,0
MGB_2024,Yoodli,DeltaFinance,2024-05-20,Associate,Tech,Tier-2,Consulting,UAE,Yes,1,8,7,5,0,0
MBA_2025,JPT,GammaAdvisory,2025-09-25,Associate,Consulting,Tier-2,Consulting,APAC,No,4,9,8,8,2,1
MBA_2025,JPT,OmegaSystems,2025-09-07,Consultant,Finance,Startup,BFSI,Global,No,1,3,5,1,0,0
MBA_2025,JPT,BetaTech,2025-04-11,Associate,Finance,Tier-1,SaaS,UAE,Yes,9,11,10,10,4,4
MBA_2025,JPT,AlphaCorp,2025-02-22,Consultant,Consulting,Tier-2,SaaS,UAE,No,5,12,6,5,3,3
MBA_2025,JPT,GammaAdvisory,2025-06-11,Engineer,Finance,Tier-1,SaaS,India,No,5,12,4,3,2,2
MBA_2025,JPT,DeltaFinance,2025-05-17,Associate,Finance,Tier-2,BFSI,UAE,No,6,11,3,3,2,2
MBA_2025,JPT,DeltaFinance,2025-01-10,Engineer,Finance,Tier-1,Consulting,Global,No,7,15,9,4,3,2
MGB_2025,JPT,BetaTech,2025-01-27,Consultant,Finance,Startup,BFSI,India,Yes,5,14,8,8,2,2
MGB_2025,JPT,DeltaFinance,2025-08-18,Analyst,Tech,Tier-2,Consulting,Global,No,3,9,2,2,1,0
MGB_2025,JPT,AlphaCorp,2025-11-17,Analyst,Ops,Tier-1,BFSI,APAC,Yes,2,12,11,6,1,1
MGB_2025,JPT,DeltaFinance,2025-02-16,Engineer,Tech,Tier-2,Consulting,UAE,Yes,4,12,8,6,2,1
MGB_2025,JPT,BetaTech,2025-01-16,Analyst,Ops,Tier-1,BFSI,India,No,5,14,9,7,2,0
MGB_2025,JPT,DeltaFinance,2025-08-25,Analyst,Finance,Tier-1,BFSI,Global,Yes,9,11,10,8,4,3
MGB_2025,JPT,GammaAdvisory,2025-07-07,Associate,Tech,Tier-2,Consulting,APAC,No,2,12,6,5,1,0
